Bandit,Reward,Algorithm
3,3.938177442750676,EpsilonGreedy
3,4.3986082002188125,EpsilonGreedy
3,3.248619597110955,EpsilonGreedy
3,3.6296860814168044,EpsilonGreedy
3,3.169553439827931,EpsilonGreedy
3,1.6022656448115176,EpsilonGreedy
3,3.3823049568325048,EpsilonGreedy
3,4.266104492827157,EpsilonGreedy
3,2.93852785589007,EpsilonGreedy
3,4.168677674427962,EpsilonGreedy
3,4.540790523717667,EpsilonGreedy
3,3.9830327371299523,EpsilonGreedy
3,5.657136381920588,EpsilonGreedy
3,3.0128457811776728,EpsilonGreedy
3,3.6431806571818752,EpsilonGreedy
3,4.526205069630728,EpsilonGreedy
3,4.730051886073911,EpsilonGreedy
3,2.5351416106593763,EpsilonGreedy
3,4.223939834671123,EpsilonGreedy
3,6.341841719584894,EpsilonGreedy
3,4.607345660011268,EpsilonGreedy
3,5.847555346874344,EpsilonGreedy
3,2.79029949441776,EpsilonGreedy
3,3.1058498031583888,EpsilonGreedy
3,3.847578777389748,EpsilonGreedy
3,4.423030185273694,EpsilonGreedy
3,4.927371155595197,EpsilonGreedy
3,4.723027791540165,EpsilonGreedy
3,2.4479202244425062,EpsilonGreedy
3,2.20854382769656,EpsilonGreedy
3,4.67141247190649,EpsilonGreedy
3,4.797220183168827,EpsilonGreedy
3,4.575861336183139,EpsilonGreedy
3,5.55655762981839,EpsilonGreedy
3,3.8332063616920498,EpsilonGreedy
3,2.734231058175138,EpsilonGreedy
3,3.6469567208445564,EpsilonGreedy
3,2.683927447258248,EpsilonGreedy
3,3.433689508955673,EpsilonGreedy
3,3.124330355050168,EpsilonGreedy
3,3.6136567110326663,EpsilonGreedy
3,4.022443234989413,EpsilonGreedy
3,4.059456348431054,EpsilonGreedy
3,5.534507606334223,EpsilonGreedy
3,3.343533972013727,EpsilonGreedy
3,3.03025330484612,EpsilonGreedy
3,3.1263494971034484,EpsilonGreedy
3,4.0349790075109055,EpsilonGreedy
3,5.427336366500098,EpsilonGreedy
3,4.771050363924788,EpsilonGreedy
3,2.798410493036461,EpsilonGreedy
3,5.4147711091583295,EpsilonGreedy
3,4.7973434116810365,EpsilonGreedy
3,3.681376092314572,EpsilonGreedy
3,4.173524741077389,EpsilonGreedy
3,3.4949135595063066,EpsilonGreedy
3,3.9107469991882073,EpsilonGreedy
3,3.343929803573129,EpsilonGreedy
3,4.558384678731679,EpsilonGreedy
3,4.277634087895413,EpsilonGreedy
